BenchmarkDotNet v0.15.8, Windows 11 (10.0.26200.9278/25H2/2025Update/HudsonValley2)
Intel Core Ultra 9 275HX 2.70GHz, 1 CPU, 24 logical and 24 physical cores
.NET SDK 10.0.303
  [Host]     : .NET 10.0.11 (10.0.11, 10.0.1126.37416), X64 RyuJIT x86-64-v3
  Job-XZXOLD : .NET 10.0.11 (10.0.11, 10.0.1126.37416), X64 RyuJIT x86-64-v3

IterationCount=8  RunStrategy=Monitoring  WarmupCount=2  

| Method                | ListSize | Mean            | Error          | StdDev       | Median          | Ratio | RatioSD | Allocated   | Alloc Ratio |

| Method                | ListSize | Mean            | Error          | StdDev       | Median          | Ratio | RatioSD | Allocated   | Alloc Ratio |
|---------------------- |--------- |----------------:|---------------:|-------------:|----------------:|------:|--------:|------------:|------------:|
| Contains_Default      | 10       |        862.6 us |       582.5 us |     304.7 us |        780.1 us |  1.08 |    0.45 |   171.63 KB |        1.00 |
| Contains_EfParameter  | 10       |        931.1 us |       263.9 us |     138.0 us |        954.2 us |  1.17 |    0.33 |   155.55 KB |        0.91 |
| Contains_EfConstant   | 10       |        674.9 us |       277.5 us |     145.1 us |        640.5 us |  0.85 |    0.27 |   160.86 KB |        0.94 |
| Contains_Chunked      | 10       |        820.5 us |       195.2 us |     102.1 us |        792.6 us |  1.03 |    0.28 |   172.08 KB |        1.00 |
| TempTable_Manual      | 10       |      1,910.0 us |       373.6 us |     195.4 us |      1,864.5 us |  2.39 |    0.62 |    18.09 KB |        0.11 |
| WhereBulkContains_EFE | 10       |      5,385.3 us |       988.0 us |     516.8 us |      5,359.8 us |  6.75 |    1.74 |    298.8 KB |        1.74 |
| WhereContains_EFPlus  | 10       |      1,006.8 us |       634.1 us |     331.6 us |        919.5 us |  1.26 |    0.50 |   179.32 KB |        1.04 |
|                       |          |                 |                |              |                 |       |         |             |             |
| Contains_Default      | 100      |      1,157.5 us |       366.7 us |     191.8 us |      1,084.7 us |  1.02 |    0.21 |   306.59 KB |        1.00 |
| Contains_EfParameter  | 100      |      1,116.8 us |       482.2 us |     252.2 us |      1,071.5 us |  0.98 |    0.25 |   179.51 KB |        0.59 |
| Contains_EfConstant   | 100      |      1,809.0 us |       669.1 us |     350.0 us |      1,733.5 us |  1.59 |    0.36 |   195.38 KB |        0.64 |
| Contains_Chunked      | 100      |      1,501.0 us |       786.7 us |     411.5 us |      1,467.8 us |  1.32 |    0.39 |   310.52 KB |        1.01 |
| TempTable_Manual      | 100      |      2,374.9 us |       600.1 us |     313.9 us |      2,416.1 us |  2.09 |    0.38 |    42.88 KB |        0.14 |
| WhereBulkContains_EFE | 100      |      5,917.7 us |     1,608.3 us |     841.2 us |      5,866.6 us |  5.22 |    0.98 |   365.11 KB |        1.19 |
| WhereContains_EFPlus  | 100      |      1,280.1 us |       547.5 us |     286.4 us |      1,214.2 us |  1.13 |    0.28 |      319 KB |        1.04 |
|                       |          |                 |                |              |                 |       |         |             |             |
| Contains_Default      | 1000     |     12,798.6 us |    21,925.1 us |  11,467.2 us |      8,925.9 us |  1.32 |    1.23 |  1641.45 KB |        1.00 |
| Contains_EfParameter  | 1000     |      2,640.6 us |     2,244.1 us |   1,173.7 us |      2,226.6 us |  0.27 |    0.14 |   386.59 KB |        0.24 |
| Contains_EfConstant   | 1000     |      3,628.9 us |     6,038.1 us |   3,158.1 us |      2,501.8 us |  0.37 |    0.34 |   530.16 KB |        0.32 |
| Contains_Chunked      | 1000     |     15,995.5 us |    28,311.8 us |  14,807.6 us |     11,049.2 us |  1.65 |    1.58 |  1657.22 KB |        1.01 |
| TempTable_Manual      | 1000     |      5,844.4 us |     9,493.7 us |   4,965.4 us |      4,189.6 us |  0.60 |    0.53 |   312.23 KB |        0.19 |
| WhereBulkContains_EFE | 1000     |      9,341.6 us |     1,660.4 us |     868.4 us |      9,497.2 us |  0.97 |    0.30 |   1024.6 KB |        0.62 |
| WhereContains_EFPlus  | 1000     |      8,357.9 us |    11,611.6 us |   6,073.1 us |      6,583.3 us |  0.86 |    0.67 |    934.8 KB |        0.57 |
|                       |          |                 |                |              |                 |       |         |             |             |
| Contains_Default      | 2098     |     34,582.0 us |    20,468.9 us |  10,705.7 us |     31,778.6 us |  1.06 |    0.37 |  3393.01 KB |        1.00 |
